Voltage (V),Current (Amps) *10^-13,,Voltage(V),Current (Amps)*10^-10,,,,,,,,,Voltage (V)1,Current (Amps)1,*10^-12,,,,,,,Voltage (V)2,Current (Amps)2,*10^-12,,,,,,,,Voltage (V)3,Current (Amps)3,*10^-12,,,,,,,,Voltage (V)4,Current (Amps)4,*10^-12,,,,,,,Voltage (V)5,Current (Amps)5,*10^-12,Voltage (V)6,Current (Amps)6,*10^-11,Voltage (V)7,Current (Amps)7,*10^-11,Voltage (V)8,Current (Amps)8,*10^-11,,Voltage (V)9,Current (Amps)9,*10^-11,Voltage (V)10,Current (Amps)10,*10^-11,Voltage (V)11,Current (Amps)11,*10^-10,Voltage (V)12,Current (Amps)12,,Voltage (V)13,Current (Amps)13,,Voltage (V)14,Current (Amps)14,,Voltage (V)15,Current (Amps)15
0,5,,0,59,,,,,,,,,-4,-204,,,,,,,,-4,-199,,,,,,,,,-4,-12,,,,,,,,,-4,-14,,,,,,,,-4,-14,,-4,-14,,-4,-13,,-4,-13,,,-4,-13,,-4,-13,,-4,-13,,-4,-13,,-4,-13,,-4,-13,,-4,-12
0.5,5,,0.5,87,,,,,,,,,-3.75,-202,,,,,,,,-3.75,-199,,,,,,,,,-3.75,-14,,,,,,,,,-3.75,-14,,,,,,,,-3.75,-14,,-3.75,-14,,-3.75,-13,,-3.75,-13,,,-3.75,-13,,-3.75,-13,,-3.75,-13,,-3.75,-13,,-3.75,-13,,-3.75,-13,,-3.75,-12
1,5,,1,119,,,,,,,,,-3.5,-202,,,,,,,,-3.5,-199,,,,,,,,,-3.5,-14,,,,,,,,,-3.5,-14,,,,,,,,-3.5,-14,,-3.5,-14,,-3.5,-13,,-3.5,-13,,,-3.5,-13,,-3.5,-13,,-3.5,-13,,-3.5,-13,,-3.5,-13,,-3.5,-13,,-3.5,-12
1.5,6,,1.5,157,,,,,,,,,-3.25,-201,,,,,,,,-3.25,-199,,,,,,,,,-3.25,-14,,,,,,,,,-3.25,-14,,,,,,,,-3.25,-14,,-3.25,-14,,-3.25,-13,,-3.25,-13,,,-3.25,-13,,-3.25,-13,,-3.25,-13,,-3.25,-13,,-3.25,-13,,-3.25,-13,,-3.25,-12
2,6,,2,195,,,,,,,,,-3,-201,,,,,,,,-3,-199,,,,,,,,,-3,-14,,,,,,,,,-3,-13,,,,,,,,-3,-14,,-3,-14,,-3,-13,,-3,-13,,,-3,-13,,-3,-13,,-3,-13,,-3,-13,,-3,-13,,-3,-13,,-3,-12
2.5,6,,2.5,228,,,,,,,,,-2.75,-201,,,,,,,,-2.75,-198,,,,,,,,,-2.75,-14,,,,,,,,,-2.75,-13,,,,,,,,-2.75,-14,,-2.75,-14,,-2.75,-13,,-2.75,-13,,,-2.75,-13,,-2.75,-13,,-2.75,-13,,-2.75,-12,,-2.75,-13,,-2.75,-13,,-2.75,-12
3,6,,3,256,,,,,,,,,-2.5,-201,,,,,,,,-2.5,-199,,,,,,,,,-2.5,-14,,,,,,,,,-2.5,-13,,,,,,,,-2.5,-14,,-2.5,-14,,-2.5,-13,,-2.5,-13,,,-2.5,-13,,-2.5,-13,,-2.5,-13,,-2.5,-12,,-2.5,-13,,-2.5,-13,,-2.5,-12
3.5,6,,3.5,288,,,,,,,,,-2.25,-201,,,,,,,,-2.25,-198,,,,,,,,,-2.25,-13,,,,,,,,,-2.25,-13,,,,,,,,-2.25,-14,,-2.25,-14,,-2.25,-13,,-2.25,-13,,,-2.25,-13,,-2.25,-13,,-2.25,-13,,-2.25,-12,,-2.25,-13,,-2.25,-13,,-2.25,-12
4,6,,4,316,,,,,,,,,-2,-200,,,,,,,,-2,-198,,,,,,,,,-2,-13,,,,,,,,,-2,-13,,,,,,,,-2,-14,,-2,-13,,-2,-12,,-2,-12,,,-2,-13,,-2,-13,,-2,-13,,-2,-12,,-2,-13,,-2,-12,,-2,-12
4.5,6,,4.5,343,,,,,,,,,-1.75,-195,,,,,,,,-1.75,-198,,,,,,,,,-1.75,-13,,,,,,,,,-1.75,-13,,,,,,,,-1.75,-14,,-1.75,-12,,-1.75,-12,,-1.75,-12,,,-1.75,-13,,-1.75,-13,,-1.75,-13,,-1.75,-12,,-1.75,-13,,-1.75,-12,,-1.75,-12
